player_id,player_name,position,nfl_season,games,fantasy_points,fantasy_ppg,position_finish
00-0036223,Jonathan Taylor,RB,2020,15,252.8,16.853333333333335,6
00-0036328,Antonio Gibson,RB,2020,14,202.2,14.442857142857141,13
00-0036275,D'Andre Swift,RB,2020,13,189.79999999999998,14.599999999999998,18
00-0036360,Clyde Edwards-Helaire,RB,2020,13,176,13.538461538461538,22
00-0036158,J.K. Dobbins,RB,2020,15,168.5,11.233333333333333,24
00-0036414,Cam Akers,RB,2020,11,101.8,9.254545454545454,45
00-0036251,Zack Moss,RB,2020,13,101.6,7.815384615384615,46
00-0036370,Joshua Kelley,RB,2020,13,81.19999999999999,6.246153846153845,59
00-0036425,DeeJay Dallas,RB,2020,9,56.900000000000006,6.322222222222223,73
00-0036269,La'Mical Perine,RB,2020,10,52.49999999999999,5.249999999999999,77
00-0036265,AJ Dillon,RB,2020,9,40.3,4.477777777777778,83
00-0036245,Malcolm Perry,RB,2020,9,24.700000000000003,2.744444444444445,96
00-0036450,Ke'Shawn Vaughn,RB,2020,6,23.3,3.8833333333333333,97
00-0036336,Anthony McFarland Jr.,RB,2020,11,22.7,2.0636363636363635,98
00-0036297,Darrynton Evans,RB,2020,5,16.099999999999998,3.2199999999999998,115
00-0036278,Jason Huntley,RB,2020,4,2.9000000000000004,0.7250000000000001,136
00-0036435,Raymond Calais,RB,2020,4,0,0,152
00-0036322,Justin Jefferson,WR,2020,16,274.2,17.1375,6
00-0036358,CeeDee Lamb,WR,2020,16,217.69999999999996,13.606249999999998,22
00-0036326,Chase Claypool,WR,2020,16,214.9,13.43125,23
00-0036410,Tee Higgins,WR,2020,15,194.60000000000002,12.973333333333334,28
00-0036261,Brandon Aiyuk,WR,2020,12,184.5,15.375,35
00-0036407,Jerry Jeudy,WR,2020,16,157.60000000000002,9.850000000000001,45
00-0036268,Laviska Shenault Jr.,WR,2020,14,157.1,11.221428571428572,46
00-0036309,Darnell Mooney,WR,2020,16,152.1,9.50625,50
00-0036196,Gabe Davis,WR,2020,16,136.9,8.55625,57
00-0036252,Michael Pittman Jr.,WR,2020,13,98.9,7.607692307692308,79
00-0036412,KJ Hamler,WR,2020,12,90.10000000000001,7.508333333333334,86
00-0036387,Jalen Reagor,WR,2020,11,87.20000000000002,7.927272727272729,90
00-0036357,Henry Ruggs III,WR,2020,13,84.1,6.4692307692307685,94
00-0036277,Quintez Cephus,WR,2020,12,66.89999999999999,5.574999999999999,101
00-0036255,Denzel Mims,WR,2020,9,60.69999999999999,6.744444444444444,105
00-0036254,Collin Johnson,WR,2020,11,59.199999999999996,5.381818181818182,107
00-0036233,Donovan Peoples-Jones,WR,2020,12,58.4,4.866666666666666,108
00-0036364,Lynn Bowden Jr.,WR,2020,9,53.58,5.953333333333333,113
00-0036331,Devin Duvernay,WR,2020,15,53.10000000000001,3.5400000000000005,115
00-0036415,Van Jefferson,WR,2020,14,46.9,3.35,120
00-0036427,Tyler Johnson,WR,2020,10,40.900000000000006,4.090000000000001,127
00-0036247,Freddie Swain,WR,2020,13,40.89999999999999,3.1461538461538456,128
00-0036365,Bryan Edwards,WR,2020,9,36.300000000000004,4.033333333333334,132
00-0036398,John Hightower,WR,2020,10,28.800000000000004,2.8800000000000003,145
00-0036271,Quez Watkins,WR,2020,4,23.6,5.9,152
00-0036382,K.J. Hill,WR,2020,12,14.3,1.1916666666666667,167
00-0036439,Tyrie Cleveland,WR,2020,7,12.3,1.7571428571428573,171
00-0036377,Joe Reed,WR,2020,10,8.9,0.89,183
00-0036340,Antonio Gandy-Golden,WR,2020,4,3.5,0.875,199
00-0036133,James Proche,WR,2020,13,2.4,0.1846153846153846,205
00-0036345,K.J. Osborn,WR,2020,8,0,0,217
00-0036223,Jonathan Taylor,RB,2021,17,373.09999999999997,21.94705882352941,1
00-0036893,Najee Harris,RB,2021,17,300.70000000000005,17.68823529411765,3
00-0036328,Antonio Gibson,RB,2021,16,229.1,14.31875,10
00-0036275,D'Andre Swift,RB,2021,13,208.9,16.06923076923077,15
00-0036997,Javonte Williams,RB,2021,17,204.9,12.052941176470588,17
00-0036265,AJ Dillon,RB,2021,17,185.59999999999997,10.917647058823528,23
00-0036567,Elijah Mitchell,RB,2021,11,165,15,26
00-0036924,Michael Carter,RB,2021,14,154.40000000000003,11.02857142857143,29
00-0036555,Chuba Hubbard,RB,2021,16,137.59999999999997,8.599999999999998,36
00-0036919,Kenneth Gainwell,RB,2021,16,123.4,7.7125,41
00-0036360,Clyde Edwards-Helaire,RB,2021,10,117.6,11.76,44
00-0036875,Rhamondre Stevenson,RB,2021,12,114.89999999999998,9.574999999999998,48
00-0036251,Zack Moss,RB,2021,13,105.20000000000002,8.092307692307694,51
00-0036906,Khalil Herbert,RB,2021,16,78.89999999999999,4.9312499999999995,63
00-0036425,DeeJay Dallas,RB,2021,17,60.099999999999994,3.5352941176470587,70
00-0036654,Demetric Felton,RB,2021,15,50.50000000000001,3.366666666666667,78
00-0036857,Chris Evans,RB,2021,9,49.8,5.533333333333333,81
00-0036450,Ke'Shawn Vaughn,RB,2021,6,36.6,6.1000000000000005,89
00-0036984,Trey Sermon,RB,2021,6,28.3,4.716666666666667,95
00-0036383,Eno Benjamin,RB,2021,8,28,3.5,96
00-0036670,Jermar Jefferson,RB,2021,4,25.7,6.425,99
00-0036842,Kene Nwangwu,RB,2021,9,23,2.5555555555555554,101
00-0036370,Joshua Kelley,RB,2021,8,17,2.125,110
00-0036650,Larry Rountree,RB,2021,9,15.6,1.7333333333333334,111
00-0036278,Jason Huntley,RB,2021,1,5.1,5.1,131
00-0036414,Cam Akers,RB,2021,1,4.3,4.3,133
00-0036669,Kylin Hill,RB,2021,8,3.9000000000000004,0.48750000000000004,135
00-0036297,Darrynton Evans,RB,2021,1,3.8,3.8,136
00-0036269,La'Mical Perine,RB,2021,2,3.0999999999999996,1.5499999999999998,139
00-0036336,Anthony McFarland Jr.,RB,2021,2,2.4,1.2,141
00-0036569,Gary Brightwell,RB,2021,7,2,0.2857142857142857,143
00-0036860,Jake Funk,RB,2021,5,0.5,0.1,151
00-0036322,Justin Jefferson,WR,2021,17,330.4000000000001,19.435294117647064,4
00-0036900,Ja'Marr Chase,WR,2021,17,304.6000000000001,17.917647058823533,5
00-0036613,Jaylen Waddle,WR,2021,16,247.79999999999995,15.487499999999997,12
00-0036252,Michael Pittman Jr.,WR,2021,17,238.6,14.035294117647059,17
00-0036358,CeeDee Lamb,WR,2021,16,232.79999999999998,14.549999999999999,19
00-0036963,Amon-Ra St. Brown,WR,2021,16,227.29999999999998,14.206249999999999,22
00-0036309,Darnell Mooney,WR,2021,17,219.7,12.923529411764704,23
00-0036410,Tee Higgins,WR,2021,14,219.10000000000002,15.650000000000002,24
00-0036912,DeVonta Smith,WR,2021,17,185.59999999999997,10.917647058823528,30
00-0036261,Brandon Aiyuk,WR,2021,17,170.29999999999998,10.017647058823528,35
00-0036415,Van Jefferson,WR,2021,17,168.20000000000002,9.894117647058824,36
00-0036326,Chase Claypool,WR,2021,15,166.6,11.106666666666666,37
00-0036345,K.J. Osborn,WR,2021,17,158.5,9.323529411764707,40
00-0036980,Elijah Moore,WR,2021,11,138.20000000000002,12.563636363636364,50
00-0036268,Laviska Shenault Jr.,WR,2021,16,126.99999999999999,7.937499999999999,57
00-0036196,Gabe Davis,WR,2021,15,125.90000000000002,8.393333333333334,58
00-0036271,Quez Watkins,WR,2021,17,116,6.823529411764706,61
00-0036936,Rondale Moore,WR,2021,14,111.1,7.935714285714285,63
00-0036233,Donovan Peoples-Jones,WR,2021,13,109.69999999999999,8.438461538461537,65
